caption_id,caption_text,make,model,year_text,from_year,to_year,complete_bodytype,doors,body_type,series,badge,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO011,ALFA ROMEO SPIDER 1750 2 DR CONVERTIBLE 06/66 - 05/72,ALFA ROMEO,SPIDER,06/66 - 05/72,1966,1972,2DR CONVERTIBLE,2,CONVERTIBLE,,,AO011 LFW,AOR95 LFW/MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO539,"ALFA ROMEO ALFASUD SPRINT, ALFA SPRINT 2 ALFASUD SPRINT, ALFA SPRINT 02/75 - ~~/88",ALFA ROMEO,SPRINT,02/75 - ~~/88,1975,1988,2DR COUPE,2,COUPE,,,AO539 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIABUS,ASIA BUS (SIMILAR TO MAZDA T3500 PARKWAY BUS) 95 on,ASIA,BUS,01/95 on,1995,2018,BUS,,BUS,,,MZPY LFW/GBX,MZPY FDU/LHG,MZPY FD/LH G,MZPY FDU/RHG,MZPY FD/RH G,MZPY SW1/LH G,MZPY SW2/LH G,MZPY SW2/LH G,MZPY SW1/LH G,MZPY SW3/LH G,MZPY SW3/RH G,MZPY SW8/LH G,MZPY SW8/RH G,MZPY RW/TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM120,AISIA ROCSTA 4WD JEEP 1/93 - 2/00,ASIA,ROCSTA,01/93 - 02/00,1993,2000,2DR SUV,2,SUV,,,AM120 LFW/GBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI006-80,AUDI 80 / 90 B2 2DR COUPE ~~/80 - ~~/88,AUDI,80,~~/80 - ~~/88,1980,1988,2DR COUPE,2,COUPE,,,AI006 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI189-80,"AUDI 80, 90, S4 B3 4 DR SEDAN 06/86 - 06/95",AUDI,80,06/86 - 06/95,1986,1995,4DR SEDAN,4,SEDAN,,,AI189 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI006-90,AUDI 80 / 90 B2 2DR COUPE ~~/80 - ~~/88,AUDI,90,~~/80 - ~~/88,1980,1988,2DR COUPE,2,COUPE,,,AI006 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI189-90,"AUDI 80, 90, S4 B3 4 DR SEDAN 06/86 - 06/95",AUDI,90,06/86 - 06/95,1986,1995,4DR SEDAN,4,SEDAN,,,AI189 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI556,AUDI 100 C3 5 DR WAGON 12/83 - 12/91,AUDI,100,12/83 - 12/91,1983,1991,5DR WAGON,5,WAGON,,,AI556 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI556-1,AUDI 100 C3 4 DR SEDAN 12/83 - 12/91,AUDI,100,12/83 - 12/91,1983,1991,4DR SEDAN,4,SEDAN,,,AI556 LFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
